,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
52,Phoenix,AZ,34707,"First Fidelity Bank, National Association",10487,"Sunrise Bank of Arizona, Phoenix, AZ",23-Aug-13,$202.20 ,$196.90 ,Sunrise Bank of Arizona,US
53,Parsons,TN,19849,"CB&S Bank, Inc.",10486,"Community South Bank, Parsons, TN",23-Aug-13,$386.90 ,$377.70 ,Community South Bank,US
54,Wausau,WI,35016,Nicolet National Bank,10485,"Bank of Wausau, Wausau, WI",9-Aug-13,$43.60 ,$40.70 ,Bank of Wausau,US
55,Sevierville,TN,34789,"First Tennessee Bank, National Association",10483,"Mountain National Bank, Sevierville, TN",7-Jun-13,$437.30 ,$373.40 ,Mountain National Bank,US
56,North Las Vegas,NV,58358,Plaza Bank,10482,"1st Commerce Bank, North Las Vegas, NV",6-Jun-13,$20.20 ,$19.60 ,1st Commerce Bank,US
57,Scottsdale,AZ,34527,Western State Bank,10479,"Central Arizona Bank, Scottsdale, AZ",14-May-13,$31.60 ,$30.80 ,Central Arizona Bank,US
58,Valdosta,GA,58185,Synovus Bank,10481,"Sunrise Bank, Valdosta, GA",10-May-13,$60.80 ,$57.80 ,Sunrise Bank,US
59,Asheville,NC,58701,"Capital Bank, N.A.",10480,"Pisgah Community Bank, Asheville, NC",10-May-13,$21.90 ,$21.20 ,Pisgah Community Bank,US
60,Douglasville,GA,21649,Hamilton State Bank,10476,"Douglas County Bank, Douglasville, GA",26-Apr-13,$316.50 ,$314.30 ,Douglas County Bank,US
61,Lenoir,NC,57158,"CertusBank, National Association",10477,"Parkway Bank, Lenoir, NC",26-Apr-13,$108.60 ,$103.70 ,Parkway Bank,US
62,Marianna,FL,58034,First Federal Bank of Florida,10473,"Chipola Community Bank, Marianna, FL",19-Apr-13,$39.20 ,$37.60 ,Chipola Community Bank,US
63,Orange Park,FL,26680,FirstAtlantic Bank,10475,"Heritage Bank of North Florida, Orange Park, FL",19-Apr-13,$110.90 ,$108.50 ,Heritage Bank of North Florida,US
64,Lexington,KY,29594,Your Community Bank,10474,"First Federal Bank, Lexington, KY",19-Apr-13,$100.10 ,$93.90 ,First Federal Bank,US
65,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",10472,"Gold Canyon Bank, Gold Canyon, AZ",5-Apr-13,$45.20 ,$44.20 ,Gold Canyon Bank,US
66,LaGrange,GA,16431,HeritageBank of the South,10471,"Frontier Bank, LaGrange, GA",8-Mar-13,$258.80 ,$224.10 ,Frontier Bank,US
67,Chicago,IL,22476,Liberty Bank and Trust Company,10470,"Covenant Bank, Chicago, IL",15-Feb-13,$58.40 ,$54.20 ,Covenant Bank,US
68,Andover,MN,57157,First Minnesota Bank,10469,"1st Regents Bank, Andover, MN",18-Jan-13,$50.20 ,$49.10 ,1st Regents Bank,US
69,University Place,WA,33997,Sunwest Bank,10468,"Westside Community Bank, University Place, WA",11-Jan-13,$97.70 ,$96.50 ,Westside Community Bank,US
70,Sunrise Beach,MO,27331,Bank of Sullivan,10467,"Community Bank of the Ozarks, Sunrise Beach, MO",14-Dec-12,$42.80 ,$41.90 ,Community Bank of the Ozarks,US
71,Braselton,GA,57928,"CertusBank, National Association",10466,"Hometown Community Bank, Braselton, GA",16-Nov-12,$124.60 ,$108.90 ,Hometown Community Bank,US
72,Princeton,IL,3731,Heartland Bank and Trust Company,10464,"Citizens First National Bank, Princeton, IL",2-Nov-12,$924.00 ,$869.40 ,Citizens First National Bank,US
73,Lutz,FL,35009,Centennial Bank,10465,"Heritage Bank of Florida, Lutz, FL",2-Nov-12,$225.50 ,$223.30 ,Heritage Bank of Florida,US
74,Berwyn,PA,27148,No Acquirer,10463,"NOVA Bank, Berwyn, PA",26-Oct-12,$483.00 ,$432.20 ,NOVA Bank,US
75,Sedalia,MO,19189,Simmons First National Bank,10460,"Excel Bank, Sedalia, MO",19-Oct-12,$200.60 ,$187.40 ,Excel Bank,US
76,Tamarac,FL,28144,Stearns Bank N.A.,10461,"First East Side Savings Bank, Tamarac, FL",19-Oct-12,$67.20 ,$65.90 ,First East Side Savings Bank,US
77,Destin,FL,58073,SmartBank,10462,"GulfSouth Private Bank, Destin, FL",19-Oct-12,$159.10 ,$151.10 ,GulfSouth Private Bank,US
78,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",10459,"First United Bank, Crete, IL",28-Sep-12,$328.40 ,$316.90 ,First United Bank,US
79,St. Louis,MO,27316,Simmons First National Bank,10458,"Truman Bank, Saint Louis, MO",14-Sep-12,$282.30 ,$245.70 ,Truman Bank,US
80,Bloomington,MN,35246,Republic Bank & Trust Company,10457,"First Commercial Bank, Bloomington, MN",7-Sep-12,$215.90 ,$206.80 ,First Commercial Bank,US
81,Waukegan,IL,28243,First Midwest Bank,10456,"Waukegan Savings Bank, Waukegan, IL",3-Aug-12,$88.90 ,$77.50 ,Waukegan Savings Bank,US
82,Jasper,GA,16240,Stearns Bank N.A.,10455,"Jasper Banking Company, Jasper, GA",27-Jul-12,$216.70 ,$213.10 ,Jasper Banking Company,US
83,Chicago,IL,27986,Hinsdale Bank & Trust Company,10453,"Second Federal Savings and Loan Association of Chicago, Chicago, IL",20-Jul-12,$199.10 ,$175.90 ,Second Federal Savings and Loan Association of Chicago,US
84,Leawood,KS,1361,Metcalf Bank,10452,"Heartland Bank, Leawood, KS",20-Jul-12,$110.00 ,$102.60 ,Heartland Bank,US
85,Woodstock,GA,32711,Community & Southern Bank,10450,"First Cherokee State Bank, Woodstock, GA",20-Jul-12,$222.70 ,$193.30 ,First Cherokee State Bank,US
86,Buford,GA,57847,Community & Southern Bank,10451,"Georgia Trust Bank, Buford, GA",20-Jul-12,$119.80 ,$117.40 ,Georgia Trust Bank,US
87,Naples,FL,57096,First National Bank of the Gulf Coast,10454,"The Royal Palm Bank of Florida, Naples, FL",20-Jul-12,$87.00 ,$85.10 ,The Royal Palm Bank of Florida,US
